Postleitzahl,year,bundesland,group,treated,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024,post_t1,post_t2,treat_x_t1,treat_x_t2,outcome,treat_x_2015,treat_x_2016,treat_x_2017,treat_x_2018,treat_x_2019,treat_x_2021,treat_x_2022
21075,2021,Hamburg,HH_grenze,1,privat,6.0,39.11,41.9,8.300639,0,0,1,0,1,0,6.0,0,0,0,0,0,1,0
21075,2022,Hamburg,HH_grenze,1,privat,6.0,38.5,46.49,8.300639,0,0,1,1,1,1,6.0,0,0,0,0,0,0,1
21077,2015,Hamburg,HH_grenze,1,privat,4.0,37.52,41.253,14.976563,0,0,0,0,0,0,4.0,1,0,0,0,0,0,0
21077,2016,Hamburg,HH_grenze,1,privat,5.0,20.995,21.435,14.976563,0,0,0,0,0,0,5.0,0,1,0,0,0,0,0
21077,2017,Hamburg,HH_grenze,1,privat,4.0,15.2,15.24,14.976563,0,0,0,0,0,0,4.0,0,0,1,0,0,0,0
21077,2018,Hamburg,HH_grenze,1,privat,2.0,8.5,9.88,14.976563,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0
21077,2019,Hamburg,HH_grenze,1,privat,7.0,51.88,56.73,14.976563,0,0,0,0,0,0,7.0,0,0,0,0,1,0,0
21077,2020,Hamburg,HH_grenze,1,privat,14.0,87.645,93.88,14.976563,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0
21077,2021,Hamburg,HH_grenze,1,privat,17.0,132.81799999999998,150.875,14.976563,0,0,1,0,1,0,17.0,0,0,0,0,0,1,0
21077,2022,Hamburg,HH_grenze,1,privat,23.0,155.845,173.865,14.976563,0,0,1,1,1,1,23.0,0,0,0,0,0,0,1
21079,2015,Hamburg,HH_grenze,1,privat,1.0,2.8,3.35,32.119669,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0
21079,2016,Hamburg,HH_grenze,1,privat,3.0,94.0,105.83,32.119669,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0
21079,2017,Hamburg,HH_grenze,1,privat,2.0,13.1,14.935,32.119669,0,0,0,0,0,0,2.0,0,0,1,0,0,0,0
21079,2018,Hamburg,HH_grenze,1,privat,3.0,10.989999999999998,11.19,32.119669,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0
21079,2019,Hamburg,HH_grenze,1,privat,6.0,29.94,30.875,32.119669,0,0,0,0,0,0,6.0,0,0,0,0,1,0,0
21079,2020,Hamburg,HH_grenze,1,privat,7.0,33.31,37.72,32.119669,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
21079,2021,Hamburg,HH_grenze,1,privat,14.0,89.33999999999999,102.57,32.119669,0,0,1,0,1,0,14.0,0,0,0,0,0,1,0
21079,2022,Hamburg,HH_grenze,1,privat,23.0,167.93,186.34,32.119669,0,0,1,1,1,1,23.0,0,0,0,0,0,0,1
