Postleitzahl,year,bundesland,group,treated,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024,post_t1,post_t2,treat_x_t1,treat_x_t2,outcome,treat_x_2015,treat_x_2016,treat_x_2017,treat_x_2018,treat_x_2019,treat_x_2021,treat_x_2022
21037,2015,Hamburg,HH_grenze,1,privat,5.0,30.67,32.47,74.305658,0,0,0,0,0,0,0.4127545711256605,1,0,0,0,0,0,0
21037,2016,Hamburg,HH_grenze,1,privat,11.0,64.125,71.745,74.305658,0,0,0,0,0,0,0.8629894644092918,0,1,0,0,0,0,0
21037,2017,Hamburg,HH_grenze,1,privat,5.0,26.700000000000003,28.09,74.305658,0,0,0,0,0,0,0.35932660740316713,0,0,1,0,0,0,0
21037,2018,Hamburg,HH_grenze,1,privat,6.0,33.36,35.879999999999995,74.305658,0,0,0,0,0,0,0.4489563903733953,0,0,0,1,0,0,0
21037,2019,Hamburg,HH_grenze,1,privat,6.0,36.75,40.73,74.305658,0,0,0,0,0,0,0.4945787573807637,0,0,0,0,1,0,0
21037,2020,Hamburg,HH_grenze,1,privat,30.0,246.73,272.98,74.305658,0,0,0,0,0,0,3.3204739267634236,0,0,0,0,0,0,0
21037,2021,Hamburg,HH_grenze,1,privat,28.0,260.135,287.395,74.305658,0,0,1,0,1,0,3.500877416360407,0,0,0,0,0,1,0
21037,2022,Hamburg,HH_grenze,1,privat,69.0,600.8050000000001,656.275,74.305658,0,0,1,1,1,1,8.08558885246666,0,0,0,0,0,0,1
21075,2015,Hamburg,HH_grenze,1,privat,1.0,2.01,2.01,8.300639,0,0,0,0,0,0,0.2421500320637965,1,0,0,0,0,0,0
21075,2016,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,8.300639,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0
21075,2017,Hamburg,HH_grenze,1,privat,1.0,2.0,2.0,8.300639,0,0,0,0,0,0,0.24094530553611596,0,0,1,0,0,0,0
21075,2018,Hamburg,HH_grenze,1,privat,1.0,7.8,7.8,8.300639,0,0,0,0,0,0,0.9396866915908522,0,0,0,1,0,0,0
21075,2019,Hamburg,HH_grenze,1,privat,3.0,14.43,16.165,8.300639,0,0,0,0,0,0,1.7384203794430766,0,0,0,0,1,0,0
21075,2020,Hamburg,HH_grenze,1,privat,1.0,6.6,6.6,8.300639,0,0,0,0,0,0,0.7951195082691825,0,0,0,0,0,0,0
21075,2021,Hamburg,HH_grenze,1,privat,6.0,39.11,41.9,8.300639,0,0,1,0,1,0,4.711685449758747,0,0,0,0,0,1,0
21075,2022,Hamburg,HH_grenze,1,privat,6.0,38.5,46.49,8.300639,0,0,1,1,1,1,4.638197131570232,0,0,0,0,0,0,1
21077,2015,Hamburg,HH_grenze,1,privat,4.0,37.52,41.253,14.976563,0,0,0,0,0,0,2.5052476993553197,1,0,0,0,0,0,0
21077,2016,Hamburg,HH_grenze,1,privat,5.0,20.995,21.435,14.976563,0,0,0,0,0,0,1.4018570215342465,0,1,0,0,0,0,0
21077,2017,Hamburg,HH_grenze,1,privat,4.0,15.2,15.24,14.976563,0,0,0,0,0,0,1.014919110613029,0,0,1,0,0,0,0
21077,2018,Hamburg,HH_grenze,1,privat,2.0,8.5,9.88,14.976563,0,0,0,0,0,0,0.5675534500138649,0,0,0,1,0,0,0
21077,2019,Hamburg,HH_grenze,1,privat,7.0,51.88,56.73,14.976563,0,0,0,0,0,0,3.464079174908155,0,0,0,0,1,0,0
21077,2020,Hamburg,HH_grenze,1,privat,14.0,87.645,93.88,14.976563,0,0,0,0,0,0,5.85214377958414,0,0,0,0,0,0,0
21077,2021,Hamburg,HH_grenze,1,privat,17.0,132.81799999999998,150.875,14.976563,0,0,1,0,1,0,8.868389896934294,0,0,0,0,0,1,0
