"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121SGJ55 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - SH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kreis;Gemeinde;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
01053 Hzgt. Lauenburg;01053127 Walksfelde;;;1;;4;2;;1;;1;;;1;4;
01053 Hzgt. Lauenburg;01053128 Wangelau;;;;1;;;;;;;;;1;;1
01053 Hzgt. Lauenburg;01053129 Wentorf bei Hamburg;15;7;35;11;9;9;3;215;57;23;17;7;8;10;6
01053 Hzgt. Lauenburg;01053130 Wentorf (Sand.-Nus.);1;2;1;1;9;8;3;;1;;1;;2;8;5
01053 Hzgt. Lauenburg;01053131 Wiershop;;;;;1;5;;;2;2;4;;3;5;
01053 Hzgt. Lauenburg;01053132 Witzeeze;3;3;1;1;2;;;;2;;6;;1;2;2
01053 Hzgt. Lauenburg;01053133 Wohltorf;8;1;4;;17;4;11;1;4;8;7;2;7;4;1
01053 Hzgt. Lauenburg;01053134 Woltersdorf;;3;;2;;1;;1;3;;5;7;;;1
01053 Hzgt. Lauenburg;01053135 Worth;;;;;;;1;2;1;;;;1;;
01053 Hzgt. Lauenburg;01053136 Ziethen;;3;2;4;2;4;8;29;11;;12;5;4;6;2
01053 Hzgt. Lauenburg;Gesamtsumme;375;459;381;445;498;536;646;686;412;139;768;571;554;374;418
01054 Nordfriesland;01054001 Achtrup;6;1;5;4;9;7;10;4;6;20;3;5;5;4;3
01054 Nordfriesland;01054002 Ahrenshöft;;3;7;;6;2;2;1;1;;4;3;2;1;
01054 Nordfriesland;01054003 Ahrenviöl;3;5;5;3;;5;4;1;3;1;1;3;2;2;4
01054 Nordfriesland;01054004 Ahrenviölfeld;;1;1;;;1;;1;;;2;2;2;1;
01054 Nordfriesland;01054005 Alkersum;2;4;5;;3;1;1;5;1;3;4;2;2;2;10
01054 Nordfriesland;01054006 Almdorf;2;1;1;;3;3;1;2;4;2;;;1;1;
01054 Nordfriesland;01054007 Arlewatt;1;2;2;1;5;;4;1;2;2;2;3;4;2;2
01054 Nordfriesland;01054009 Aventoft;3;;;1;3;1;4;1;1;;1;;;2;2
01054 Nordfriesland;01054010 Bargum;4;3;;1;3;6;3;5;2;3;4;8;8;3;
01054 Nordfriesland;01054011 Behrendorf;4;7;7;2;3;6;1;3;2;3;4;3;;1;2
01054 Nordfriesland;01054012 Bohmstedt;4;;6;;4;2;;5;4;4;5;6;5;7;4
01054 Nordfriesland;01054013 Bondelum;;;1;1;;;2;;3;1;1;;1;;
01054 Nordfriesland;01054014 Bordelum;12;2;11;3;17;10;3;9;5;;11;15;11;9;2
01054 Nordfriesland;01054015 Borgsum;2;;1;8;7;2;3;4;;1;;4;5;8;2
01054 Nordfriesland;01054016 Bosbüll;;2;2;;1;1;3;;5;5;;;1;;
01054 Nordfriesland;01054017 Braderup;;4;;1;4;1;3;3;8;4;2;4;4;4;4
01054 Nordfriesland;01054018 Bramstedtlund;;;;;;;;1;1;3;2;3;;1;
01054 Nordfriesland;01054019 Bredstedt, Stadt;27;9;18;6;26;18;15;29;19;20;21;13;36;10;7
01054 Nordfriesland;01054020 Breklum;8;6;13;3;17;8;8;3;12;8;3;3;4;2;5
01054 Nordfriesland;01054022 Dagebüll;7;5;30;20;24;8;37;5;11;8;17;4;7;4;1
01054 Nordfriesland;01054023 Drage;6;2;5;2;5;2;6;4;2;5;8;2;2;7;
01054 Nordfriesland;01054024 Drelsdorf;12;1;16;1;13;6;10;12;2;2;5;6;7;5;4
01054 Nordfriesland;01054025 Dunsum;;3;;2;;;;;2;;;;2;4;1
01054 Nordfriesland;01054026 Elisab.-Sophien-Koog;1;;;2;;;2;1;;;;;;;
01054 Nordfriesland;01054027 Ellhöft;;;;;1;;;;1;;;;1;;1
01054 Nordfriesland;01054032 Fresendelf;;1;;;;;;;;;;;;;
01054 Nordfriesland;01054033 Friedrichstadt,Stadt;;5;5;2;4;12;5;6;6;8;4;2;2;1;
01054 Nordfriesland;01054034 Fr.-Wilh.-Lübke-Koog;3;1;2;2;1;1;1;1;;;1;5;;;
01054 Nordfriesland;01054035 Garding, Kirchspiel;4;4;2;;;1;4;1;1;;1;;5;;
01054 Nordfriesland;01054036 Garding, Stadt;7;6;7;5;3;6;11;12;6;6;14;8;24;31;
01054 Nordfriesland;01054037 Goldebek;3;2;1;;2;;;;1;3;1;;1;;
01054 Nordfriesland;01054038 Goldelund;4;1;1;1;3;1;2;;4;2;1;3;;1;5
01054 Nordfriesland;01054040 Grothusenkoog;;;2;;;1;;;;;1;;;;
01054 Nordfriesland;01054041 Haselund;5;11;5;;6;6;1;7;4;6;6;6;2;1;4
01054 Nordfriesland;01054042 Hattstedt;16;8;4;13;4;9;26;9;7;2;14;7;40;5;
01054 Nordfriesland;01054043 Hattstedtermarsch;1;;;1;;2;1;1;;;2;1;2;;
01054 Nordfriesland;01054045 Högel;2;;3;2;1;1;1;3;1;2;;;;2;1
01054 Nordfriesland;01054046 Hörnum (Sylt);36;2;5;5;7;3;2;19;4;;;3;6;3;1
01054 Nordfriesland;01054048 Holm;;;;;;1;1;;;1;;1;;;
01054 Nordfriesland;01054050 Hallig Hooge;1;;;;;;;;;;1;;;;
01054 Nordfriesland;01054052 Horstedt;7;2;3;11;2;7;4;4;5;8;4;3;1;1;
01054 Nordfriesland;01054054 Hude;;;1;1;;;;2;3;;3;;;1;
01054 Nordfriesland;01054055 Humptrup;5;4;2;4;5;3;2;7;3;9;2;4;;5;
01054 Nordfriesland;01054056 Husum, Stadt;63;46;1;1;72;187;25;59;78;60;59;62;65;72;7
01054 Nordfriesland;01054057 Immenstedt;1;1;1;4;2;;;2;;1;6;4;11;;
01054 Nordfriesland;01054059 Joldelund;6;3;4;;7;;1;3;2;6;6;7;4;3;
01054 Nordfriesland;01054061 Kampen (Sylt);14;17;14;5;12;4;10;3;4;8;6;;3;1;2
01054 Nordfriesland;01054062 Karlum;;;;;1;1;1;;1;;1;2;;;1
01054 Nordfriesland;01054063 Katharinenheerd;1;;;1;;2;1;2;;;;;;3;
01054 Nordfriesland;01054065 Klanxbüll;4;2;1;1;3;10;8;3;4;7;3;14;2;;
01054 Nordfriesland;01054068 Klixbüll;3;2;4;;6;3;14;3;1;4;17;4;8;;1
01054 Nordfriesland;01054070 Koldenbüttel;6;1;2;2;;;7;4;4;2;1;;2;;
01054 Nordfriesland;01054071 Kolkerheide;;;;;1;2;;;;;2;1;;;
01054 Nordfriesland;01054072 Kotzenbüll;;1;;1;;;;1;;;;;;1;
01054 Nordfriesland;01054073 Ladelund;2;3;3;2;2;3;4;8;3;6;15;11;15;7;2
01054 Nordfriesland;01054074 Langeneß;;1;;;;;;;;;;;;;
01054 Nordfriesland;01054075 Langenhorn;27;11;17;5;39;13;12;21;20;24;27;17;25;21;17
01054 Nordfriesland;01054076 Leck;19;9;13;13;24;17;14;25;19;20;21;10;3;5;1
01054 Nordfriesland;01054078 List auf Sylt;15;11;6;3;5;16;11;11;13;20;16;29;3;16;4
01054 Nordfriesland;01054079 Löwenstedt;1;5;3;4;3;8;1;4;7;3;4;4;4;7;4
01054 Nordfriesland;01054080 Lütjenholm;2;;7;1;1;1;;1;2;2;;2;2;2;
01054 Nordfriesland;01054083 Midlum;4;6;;5;3;4;1;2;;3;1;4;2;1;1
01054 Nordfriesland;01054084 Mildstedt;12;17;10;19;11;17;11;3;33;16;26;10;10;5;
01054 Nordfriesland;01054085 Nebel;8;7;8;6;7;4;3;6;2;3;1;2;1;3;1
01054 Nordfriesland;01054086 Neukirchen;10;2;5;1;1;4;2;4;8;5;11;2;7;9;1
01054 Nordfriesland;01054087 Nieblum;;;20;8;9;5;17;9;5;8;11;6;;3;4
01054 Nordfriesland;01054088 Niebüll, Stadt;42;54;42;62;30;26;68;25;25;50;27;26;12;26;
01054 Nordfriesland;01054089 Norddorf auf Amrum;1;;;2;2;;3;;1;2;3;;3;1;2
01054 Nordfriesland;01054090 Norderfriedrichskoog;1;1;2;1;;;;;;;;;;;
01054 Nordfriesland;01054091 Nordstrand;5;15;7;3;10;15;6;24;8;6;8;2;10;8;2
01054 Nordfriesland;01054092 Norstedt;5;3;2;3;2;2;2;1;1;2;1;2;;1;
01054 Nordfriesland;01054093 Ockholm;2;;4;;2;1;3;1;4;1;1;4;1;1;1
01054 Nordfriesland;01054094 Oevenum;3;4;4;3;5;1;2;2;12;6;3;3;4;8;1
01054 Nordfriesland;01054095 Oldenswort;4;5;7;7;;10;6;7;4;4;8;5;28;14;
01054 Nordfriesland;01054096 Oldersbek;5;2;2;10;4;3;4;6;5;1;6;2;8;3;
01054 Nordfriesland;01054097 Olderup;4;;3;1;;2;;3;;2;4;1;1;1;1
01054 Nordfriesland;01054098 Oldsum;4;6;5;4;2;;5;3;5;7;2;6;5;10;2
01054 Nordfriesland;01054099 Ostenfeld (Husum);8;10;8;4;10;8;4;12;9;9;6;8;;2;
01054 Nordfriesland;01054100 Osterhever;6;1;1;;;1;1;1;;;;;9;1;
01054 Nordfriesland;01054101 Oster-Ohrstedt;3;2;2;;2;;4;4;7;3;2;3;1;1;1
01054 Nordfriesland;01054103 Pellworm;2;5;4;2;6;5;2;1;15;47;5;7;;1;1
01054 Nordfriesland;01054104 Poppenbüll;1;2;2;1;;1;;1;1;1;;;1;2;
01054 Nordfriesland;01054105 Ramstedt;1;2;1;1;1;;2;2;2;8;3;;1;1;
01054 Nordfriesland;01054106 Rantrum;15;6;31;24;13;10;25;10;10;12;14;5;11;5;
01054 Nordfriesland;01054108 Reußenköge;7;2;1;;4;2;1;7;;1;;;2;1;
01054 Nordfriesland;01054109 Risum-Lindholm;22;15;26;19;30;23;25;28;38;18;12;35;21;19;2
01054 Nordfriesland;01054110 Rodenäs;;1;5;1;3;;1;;;2;1;;2;1;3
01054 Nordfriesland;01054113 Sankt Peter-Ording;;85;29;56;24;30;25;146;14;50;12;19;30;9;14
01054 Nordfriesland;01054116 Schwabstedt;9;2;3;6;3;;7;4;3;1;5;3;2;;1
01054 Nordfriesland;01054118 Schwesing;9;3;5;4;5;3;8;11;5;6;5;1;;2;
01054 Nordfriesland;01054119 Seeth;4;1;1;3;1;2;1;2;4;2;6;3;10;;
01054 Nordfriesland;01054120 Simonsberg;5;3;1;2;4;4;2;1;;2;;3;2;3;
01054 Nordfriesland;01054121 Sönnebüll;1;;;;4;1;3;2;1;;1;;7;3;2
01054 Nordfriesland;01054123 Sollwitt;2;;1;;1;2;3;1;1;1;3;2;3;2;
01054 Nordfriesland;01054124 Sprakebüll;2;1;;;;5;2;;2;4;;4;3;3;
01054 Nordfriesland;01054125 Stadum;10;6;3;7;5;5;5;1;1;4;2;5;4;7;
01054 Nordfriesland;01054126 Stedesand;9;4;8;6;3;4;7;6;1;2;2;4;7;4;3
01054 Nordfriesland;01054128 Struckum;3;1;8;;8;2;4;5;6;1;6;3;2;8;3
01054 Nordfriesland;01054129 Süderende;;2;;5;2;1;3;;3;3;;1;2;1;1
01054 Nordfriesland;01054130 Süderhöft;;;1;;;;;;;;;;;;
01054 Nordfriesland;01054131 Süderlügum;6;13;11;16;17;9;8;32;22;6;7;6;3;5;6
01054 Nordfriesland;01054132 Südermarsch;5;;2;1;;1;;;4;;;2;2;1;
01054 Nordfriesland;01054134 Tating;7;3;2;6;;15;27;7;2;11;1;;9;2;
01054 Nordfriesland;01054135 Tetenbüll;1;;6;1;;2;5;5;1;1;;1;7;1;2
01054 Nordfriesland;01054136 Tinningstedt;1;1;;;3;1;2;;2;1;;1;1;1;
01054 Nordfriesland;01054138 Tönning, Stadt;6;6;6;2;6;2;22;14;21;10;5;7;9;10;3
01054 Nordfriesland;01054140 Tümlauer Koog;3;;1;2;;2;;;;;;1;;;
01054 Nordfriesland;01054141 Uelvesbüll;1;;1;;2;3;;2;1;2;;1;2;;
01054 Nordfriesland;01054142 Uphusum;2;;;1;2;;;2;;;1;1;;3;
01054 Nordfriesland;01054143 Utersum;8;5;3;2;4;3;5;5;5;3;3;4;4;4;3
01054 Nordfriesland;01054144 Viöl;9;15;33;5;15;15;29;15;6;6;5;4;5;25;17
01054 Nordfriesland;01054145 Vollerwiek;4;2;4;;;2;2;4;3;1;2;;4;;
01054 Nordfriesland;01054146 Vollstedt;;1;2;1;;1;;2;1;;;1;2;1;
01054 Nordfriesland;01054148 Welt;1;2;1;3;;2;;1;;2;1;;3;;
01054 Nordfriesland;01054149 Wenningst.-Br (Sylt);9;30;16;9;18;24;12;12;25;28;18;14;10;14;3
01054 Nordfriesland;01054150 Westerhever;;1;;1;;;;;1;1;;;;;
01054 Nordfriesland;01054152 Wester-Ohrstedt;8;6;6;4;7;6;3;3;7;6;2;4;1;1;3
01054 Nordfriesland;01054154 Westre;5;;2;3;2;;1;3;1;2;3;3;1;;1
01054 Nordfriesland;01054156 Winnert;3;2;1;1;4;1;2;2;1;1;5;4;4;1;
01054 Nordfriesland;01054157 Wisch;;;;;;;;;;2;;1;1;;
01054 Nordfriesland;01054158 Witsum;;;5;;2;;;1;1;;;;1;;1
01054 Nordfriesland;01054159 Wittbek;3;1;2;1;;4;2;7;4;9;5;5;2;1;
01054 Nordfriesland;01054160 Wittdün auf Amrum;10;;5;;;3;5;1;1;2;;;;1;1
01054 Nordfriesland;01054161 Witzwort;2;3;5;12;;6;8;4;;1;7;2;3;6;
01054 Nordfriesland;01054162 Wobbenbüll;3;;2;2;5;4;1;2;;;6;;2;;
01054 Nordfriesland;01054163 Wrixum;2;1;;2;4;6;4;1;1;1;1;3;3;1;2
01054 Nordfriesland;01054164 Wyk auf Föhr, Stadt;10;24;18;28;18;21;41;19;19;20;25;16;12;9;8
01054 Nordfriesland;01054165 Galmsbüll;;4;3;2;;1;1;2;;3;1;1;;2;1
01054 Nordfriesland;01054166 Emmelsbüll-Horsbüll;6;6;3;7;;5;2;2;;1;1;;;1;1
01054 Nordfriesland;01054167 Enge-Sande;8;3;3;4;6;11;6;6;3;7;8;9;6;4;1
01054 Nordfriesland;01054168 Sylt;;71;58;74;55;61;62;46;56;39;43;63;43;39;51
01054 Nordfriesland;Gesamtsumme;714;697;718;617;757;825;810;863;724;764;687;634;694;572;255
01055 Ostholstein;01055001 Ahrensbök;9;11;11;8;16;14;14;1;;;4;13;21;14;6
01055 Ostholstein;01055002 Altenkrempe;7;5;1;;12;;2;1;3;6;4;4;1;2;2
01055 Ostholstein;01055004 Bad Schwartau, Stadt;45;32;51;29;18;19;12;14;15;25;36;18;7;;12
01055 Ostholstein;01055006 Beschendorf;1;;;;1;;1;1;2;;1;2;1;1;2
01055 Ostholstein;01055007 Bosau;1;13;5;4;12;3;7;11;12;13;15;11;5;12;12
01055 Ostholstein;01055010 Dahme;;11;4;5;4;6;6;7;5;10;10;10;2;5;10
01055 Ostholstein;01055011 Damlos;;1;1;2;;2;;;;;;1;;;
01055 Ostholstein;01055012 Eutin, Stadt;10;;60;1;35;29;34;50;26;53;58;26;21;12;15
01055 Ostholstein;01055014 Göhl;;4;;1;1;1;4;;;2;1;6;2;2;2
01055 Ostholstein;01055015 Gremersdorf;2;2;3;1;2;6;6;;;28;;5;6;;21
01055 Ostholstein;01055016 Grömitz;;60;22;24;19;14;21;14;10;6;29;17;20;16;17
01055 Ostholstein;01055017 Großenbrode;8;17;20;46;22;5;26;;;94;1;24;1;8;
01055 Ostholstein;01055018 Grube;;1;2;;4;3;1;2;3;10;6;2;2;1;2
01055 Ostholstein;01055020 Harmsdorf;;;;2;1;;3;;;1;;;;;
01055 Ostholstein;01055021 Heiligenhafen, Stadt;18;9;17;20;16;32;31;58;28;7;7;6;2;4;7
01055 Ostholstein;01055022 Heringsdorf;1;6;1;2;2;8;8;;;19;;9;1;;14
01055 Ostholstein;01055023 Kabelhorst;;;1;;;1;;2;;;1;;;;
01055 Ostholstein;01055024 Kasseedorf;2;8;;;10;1;;3;1;1;2;;3;1;
01055 Ostholstein;01055025 Kellenhusen (Ostsee);;12;4;2;17;6;7;4;6;4;9;1;5;4;2
01055 Ostholstein;01055027 Lensahn;9;5;4;2;;6;31;8;9;1;36;16;6;1;3
01055 Ostholstein;01055028 Malente;18;10;13;13;10;5;16;2;;;2;3;15;35;16
01055 Ostholstein;01055029 Manhagen;;;;;;;;1;;;1;;;1;1
01055 Ostholstein;01055031 Neukirchen;4;6;3;1;4;;3;;;1;;5;3;4;
01055 Ostholstein;01055032 Neustadt in Holstein;37;27;34;51;25;40;83;26;38;52;34;10;56;40;32
01055 Ostholstein;01055033 Oldenburg / Holstein;9;8;12;18;21;12;15;20;25;28;29;15;4;7;7
01055 Ostholstein;01055035 Ratekau;13;22;26;22;2;27;23;21;30;15;18;19;38;49;11
01055 Ostholstein;01055036 Riepsdorf;;3;1;1;;2;3;1;1;;1;1;;1;2
01055 Ostholstein;01055037 Schashagen;8;4;;;11;14;7;2;;;1;2;4;;3
01055 Ostholstein;01055038 Schönwalde / Bungsb.;6;7;;;13;1;5;6;10;6;3;2;2;2;1
01055 Ostholstein;01055039 Sierksdorf;7;7;;;20;8;2;2;4;8;11;12;11;2;3
01055 Ostholstein;01055040 Stockelsdorf;55;48;43;45;11;65;30;15;7;21;32;9;11;16;26
01055 Ostholstein;01055041 Süsel;15;1;27;;11;11;6;7;8;5;9;8;10;7;3
01055 Ostholstein;01055042 Timmendorfer Strand;40;62;7;21;19;17;15;19;9;52;26;17;20;12;17
01055 Ostholstein;01055043 Wangels;10;4;7;5;3;3;10;;;12;;3;1;;12
01055 Ostholstein;01055044 Scharbeutz;8;24;22;25;18;58;93;73;84;49;82;27;9;16;12
01055 Ostholstein;01055046 Fehmarn, Stadt;63;57;52;70;21;64;91;58;54;51;94;60;;55;135
01055 Ostholstein;Gesamtsumme;406;487;454;421;381;483;616;429;390;580;563;364;290;330;408
01056 Pinneberg;01056001 Appen;9;6;5;15;8;11;1;14;32;21;10;4;7;15;5
01056 Pinneberg;01056002 Barmstedt, Stadt;19;18;33;36;51;27;23;17;27;25;35;26;18;9;11
01056 Pinneberg;01056003 Bevern;1;2;1;3;;1;1;1;2;2;2;2;1;10;2
01056 Pinneberg;01056004 Bilsen;;;;1;1;8;15;7;1;5;1;3;1;4;
01056 Pinneberg;01056005 Bönningstedt;16;7;2;8;20;7;9;5;8;10;8;13;9;4;12
01056 Pinneberg;01056006 Bokel;1;;2;4;4;1;6;1;;;1;1;2;;2
01056 Pinneberg;01056008 Bokholt-Hanredder;;1;2;2;6;4;3;2;1;21;8;6;;8;
01056 Pinneberg;01056009 Borstel-Hohenraden;16;18;1;;3;8;15;12;4;38;1;3;15;2;5
01056 Pinneberg;01056010 Brande-Hörnerkirchen;3;5;8;7;12;7;8;7;10;4;23;6;3;2;9
01056 Pinneberg;01056011 Bullenkuhlen;;1;4;1;;1;;1;11;2;1;1;3;2;1
01056 Pinneberg;01056013 Ellerbek;12;8;14;12;9;9;33;16;18;25;10;7;6;13;8
01056 Pinneberg;01056014 Ellerhoop;8;6;1;;5;3;11;21;4;6;3;9;1;3;3
01056 Pinneberg;01056015 Elmshorn, Stadt;99;72;49;77;57;81;39;106;50;49;55;80;86;54;26
01056 Pinneberg;01056016 Groß Nordende;3;7;9;11;3;;4;3;5;;3;1;;3;
01056 Pinneberg;01056017 Groß Offenseth-Asper;2;;2;;1;2;1;2;;4;4;4;2;3;
01056 Pinneberg;01056018 Halstenbek;53;45;26;51;24;80;58;56;19;47;10;41;15;21;15
01056 Pinneberg;01056019 Haselau;1;3;4;2;6;1;4;6;2;2;4;2;;3;1
01056 Pinneberg;01056020 Haseldorf;6;5;13;5;13;4;14;12;2;11;5;3;1;4;2
01056 Pinneberg;01056021 Hasloh;12;10;4;3;55;15;4;11;11;17;10;10;10;35;26
01056 Pinneberg;01056022 Heede;1;8;4;8;6;2;5;3;9;2;3;6;3;12;
01056 Pinneberg;01056023 Heidgraben;26;18;12;8;10;58;9;7;8;3;11;;9;33;21
01056 Pinneberg;01056024 Heist;8;9;3;6;5;3;7;9;5;19;14;3;18;11;19
01056 Pinneberg;01056025 Helgoland;1;;;;7;2;;3;;6;13;;;2;2
01056 Pinneberg;01056026 Hemdingen;6;9;4;17;8;7;10;5;11;7;3;6;5;15;3
01056 Pinneberg;01056027 Hetlingen;;6;7;2;5;3;9;4;7;1;15;7;5;1;2
01056 Pinneberg;01056028 Holm;9;3;6;5;20;15;12;14;13;8;6;13;6;3;21
01056 Pinneberg;01056029 Klein Nordende;7;13;24;7;38;16;12;3;11;6;27;7;6;5;6
01056 Pinneberg;01056030 Kl. Offenseth-Sparr.;23;22;22;2;29;8;9;18;12;20;14;7;8;1;7
01056 Pinneberg;01056031 Kölln-Reisiek;11;19;54;26;17;26;2;3;29;24;10;7;4;7;4
01056 Pinneberg;01056032 Kummerfeld;5;;11;20;2;20;37;10;12;1;4;2;;24;10
01056 Pinneberg;01056033 Seester;1;;9;7;19;7;2;10;11;3;6;1;4;1;1
01056 Pinneberg;01056034 Langeln;;3;;;;10;10;9;1;;;5;2;1;
01056 Pinneberg;01056035 Lutzhorn;1;2;3;1;1;7;3;8;;1;;3;2;9;1
01056 Pinneberg;01056036 Moorrege;5;2;10;11;62;10;48;26;18;14;13;17;9;20;5
01056 Pinneberg;01056037 Neuendeich;;3;2;;3;3;1;3;2;4;2;2;1;5;4
01056 Pinneberg;01056038 Osterhorn;3;;1;2;;3;2;;;3;2;;;;2
01056 Pinneberg;01056039 Pinneberg, Stadt;60;69;62;58;81;22;146;86;39;44;28;36;82;44;27
01056 Pinneberg;01056040 Prisdorf;9;5;5;24;21;5;4;4;2;13;3;11;4;3;4
01056 Pinneberg;01056041 Quickborn, Stadt;41;30;56;75;134;55;92;87;55;56;82;48;36;24;47
01056 Pinneberg;01056042 Raa-Besenbek;3;1;5;;6;2;;3;1;;1;;;9;5
01056 Pinneberg;01056043 Rellingen;39;15;31;69;52;74;33;48;24;17;35;27;71;59;35
01056 Pinneberg;01056044 Schenefeld, Stadt;32;60;77;63;49;29;24;42;52;19;31;17;48;15;14
01056 Pinneberg;01056045 Seestermühe;2;2;3;;2;1;2;4;2;4;1;4;4;3;1
01056 Pinneberg;01056046 Seeth-Ekholt;;6;;;11;2;6;3;3;1;11;9;15;10;3
01056 Pinneberg;01056047 Tangstedt;6;6;1;6;7;8;6;2;10;17;2;3;5;7;3
01056 Pinneberg;01056048 Tornesch, Stadt;25;21;35;17;97;21;109;44;93;35;23;36;9;68;24
01056 Pinneberg;01056049 Uetersen, Stadt;25;24;24;8;78;3;26;25;7;53;11;10;23;52;9
01056 Pinneberg;01056050 Wedel, Stadt;37;50;53;57;38;66;50;42;33;31;23;35;24;8;8
01056 Pinneberg;01056051 Westerhorn;3;5;3;5;3;6;6;4;2;6;3;8;4;2;5
01056 Pinneberg;Gesamtsumme;650;625;707;742;1.089;764;931;829;679;707;591;552;587;649;421
01057 Plön;01057001 Ascheberg (Holstein);2;1;3;2;4;6;1;2;3;2;;25;34;7;8
01057 Plön;01057002 Barmissen;;;;;1;;;;;;;;;1;
01057 Plön;01057003 Barsbek;1;;;;;;2;3;;;;3;3;;3
01057 Plön;01057004 Behrensdorf (Ostsee);3;3;2;;;7;1;2;1;3;3;;5;2;
01057 Plön;01057005 Belau;;1;;2;1;;;1;4;4;2;;;;
01057 Plön;01057006 Bendfeld;;;1;;1;1;;;;;;1;1;;
01057 Plön;01057007 Blekendorf;;5;2;11;7;9;8;18;3;5;3;4;8;3;9
01057 Plön;01057008 Bönebüttel;2;;14;7;;11;;4;1;1;11;7;;30;1
01057 Plön;01057009 Bösdorf;1;4;1;1;1;3;;2;2;1;1;1;1;2;4
01057 Plön;01057010 Boksee;1;2;;;3;3;;3;;;4;1;;3;
01057 Plön;01057011 Bothkamp;;;;;;;2;1;;;;;;;1
01057 Plön;01057012 Brodersdorf;;;2;;1;;;;1;;;;;3;
01057 Plön;01057013 Dannau;;1;2;;;1;;3;;;1;;2;1;1
01057 Plön;01057015 Dersau;;8;4;1;6;8;2;2;;1;;1;4;;2
01057 Plön;01057016 Dobersdorf;1;1;1;2;5;2;3;4;;2;3;;;;1
01057 Plön;01057017 Dörnick;;;;;1;;1;;;;;3;;;
01057 Plön;01057018 Fahren;;;1;;;1;;;;;;;;;
01057 Plön;01057020 Fiefbergen;;1;1;;2;;;;;;1;1;3;2;4
01057 Plön;01057021 Giekau;;1;2;2;1;3;;1;3;2;2;1;2;2;
01057 Plön;01057022 Grebin;1;1;;5;3;2;2;1;1;;2;;2;1;1
01057 Plön;01057023 Großbarkau;;;1;1;;1;1;1;1;1;;;;;1
01057 Plön;01057024 Großharrie;2;;1;;;1;;5;;1;;1;1;;1
01057 Plön;01057025 Heikendorf;15;13;11;;32;11;13;8;15;38;20;52;23;10;10
01057 Plön;01057026 Helmstorf;;;;2;;;;;1;;;1;;;
01057 Plön;01057027 Högsdorf;;1;;2;;;;;;2;;1;2;1;
01057 Plön;01057028 Höhndorf;;;;;2;1;3;8;2;;9;1;;;1
01057 Plön;01057029 Hohenfelde;;1;1;4;6;1;1;4;1;1;6;13;8;3;3
01057 Plön;01057030 Hohwacht (Ostsee);9;5;3;9;14;3;9;14;13;;16;10;7;5;6
01057 Plön;01057031 Honigsee;;;1;1;;1;1;2;1;;;;;;
01057 Plön;01057032 Kalübbe;1;;1;1;3;1;6;1;1;;1;1;1;1;
01057 Plön;01057033 Kirchbarkau;;;4;10;6;2;1;1;;1;2;1;1;;
01057 Plön;01057034 Kirchnüchel;;;;;;;;;1;;;;;1;
01057 Plön;01057035 Klamp;;;;2;;;;;;1;;;1;;4
01057 Plön;01057037 Klein Barkau;;;;;1;1;1;;;1;1;1;1;;
01057 Plön;01057038 Kletkamp;;;;1;;;;;1;;;;;;
01057 Plön;01057039 Köhn;4;1;;1;2;;;2;;;;1;3;1;
01057 Plön;01057040 Krokau;;;;;1;1;1;2;;;1;1;;;
01057 Plön;01057041 Krummbek;;;1;2;;1;2;;1;;;;;;3
01057 Plön;01057042 Kühren;;2;;;1;2;1;;;;;;1;;1
01057 Plön;01057043 Laboe;4;5;2;9;10;;18;10;2;;66;32;9;28;5
01057 Plön;01057045 Lebrade;2;;;1;;3;;;1;;1;;;;2
01057 Plön;01057046 Lehmkuhlen;1;1;2;1;7;1;2;3;5;;3;;1;10;
01057 Plön;01057047 Löptin;;;1;;;1;;1;;;;;;;
01057 Plön;01057048 Lütjenburg, Stadt;;1;4;1;2;2;2;5;4;;3;6;12;18;3
01057 Plön;01057049 Lutterbek;;;;;;1;;;2;1;;1;;;
01057 Plön;01057050 Martensrade;1;2;;2;1;1;2;;2;;;2;2;2;3
01057 Plön;01057051 Mönkeberg;5;3;4;34;5;67;10;3;2;3;8;1;1;6;4
01057 Plön;01057052 Mucheln;;;4;;;1;;2;3;1;1;2;3;2;1
01057 Plön;01057053 Nehmten;;1;;2;1;;1;;1;;2;2;;;
01057 Plön;01057054 Nettelsee;1;1;1;;1;;;;;;;;1;;
01057 Plön;01057055 Panker;;6;5;5;1;8;2;5;;2;;1;7;3;4
01057 Plön;01057056 Passade;6;7;4;;3;1;;;2;4;1;1;1;;
01057 Plön;01057057 Plön, Stadt;16;11;23;19;9;13;7;9;8;4;3;3;5;4;8
01057 Plön;01057058 Pohnsdorf;1;1;1;;2;;;;;1;1;1;;;3
01057 Plön;01057059 Postfeld;1;;;;;;;;1;;1;;;1;1
