"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121SGJ55 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - SH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kreis;Gemeinde;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
01051 Dithmarschen;01051063 Krumstedt;4;3;6;1;1;2;2;;;4;3;;2;7;5
01051 Dithmarschen;01051064 Kuden;2;3;1;2;2;1;;1;2;2;1;4;4;3;
01051 Dithmarschen;01051065 Lehe;4;1;6;1;1;1;1;4;2;7;8;4;3;2;1
01051 Dithmarschen;01051067 Lieth;;1;3;1;;1;2;1;1;1;1;;;1;
01051 Dithmarschen;01051068 Linden;6;3;2;;5;2;3;7;3;;3;1;;2;2
01051 Dithmarschen;01051069 Lohe-Rickelshof;;10;7;12;11;9;6;8;5;5;6;3;8;1;11
01051 Dithmarschen;01051071 Lunden;1;3;;5;;2;;4;1;1;4;6;2;6;8
01051 Dithmarschen;01051072 Marne, Stadt;8;3;4;10;10;14;7;11;6;18;12;10;9;4;2
01051 Dithmarschen;01051073 Marnerdeich;;;;1;;2;;;;1;;;1;2;
01051 Dithmarschen;01051074 Meldorf, Stadt;10;9;21;3;16;9;13;8;3;17;22;19;21;10;7
01051 Dithmarschen;01051075 Neuenkirchen;2;6;;;3;1;2;1;1;6;4;3;4;14;3
01051 Dithmarschen;01051076 Neufeld;8;3;1;2;;4;;2;3;2;5;3;;1;2
01051 Dithmarschen;01051077 Neufelderkoog;8;;1;;1;;;;;;;;;;5
01051 Dithmarschen;01051078 Nindorf;4;1;2;5;9;3;3;3;1;9;6;5;3;6;5
01051 Dithmarschen;01051079 Norddeich;4;;;1;1;;;2;1;;2;5;6;2;4
01051 Dithmarschen;01051080 Norderheistedt;1;1;;1;1;1;1;2;1;;;;;;
01051 Dithmarschen;01051081 Norderwöhrden;;4;;;3;2;2;2;;1;3;;1;;2
01051 Dithmarschen;01051082 Nordhastedt;2;23;10;9;10;10;10;11;10;4;27;3;2;;4
01051 Dithmarschen;01051083 Odderade;1;;4;;2;1;;2;1;1;1;3;2;;
01051 Dithmarschen;01051084 Oesterdeichstrich;;1;;;1;;;;5;1;5;;1;;2
01051 Dithmarschen;01051085 Offenbüttel;1;5;2;1;;2;3;;;1;;;;2;2
01051 Dithmarschen;01051086 Osterrade;3;2;1;;1;;1;;2;;;;;;
01051 Dithmarschen;01051087 Ostrohe;1;1;;1;2;3;1;2;;;3;3;2;3;10
01051 Dithmarschen;01051088 Pahlen;9;1;3;2;5;6;2;2;1;9;7;7;3;3;14
01051 Dithmarschen;01051089 Quickborn;;;;1;1;;;1;;1;;;2;1;2
01051 Dithmarschen;01051090 Ramhusen;1;1;;;1;2;;;;2;;1;2;;
01051 Dithmarschen;01051092 Rehm-Flehde-Bargen;2;2;1;;;;1;2;2;2;1;2;;;
01051 Dithmarschen;01051093 Reinsbüttel;1;1;1;;;;;;;;;;1;;
01051 Dithmarschen;01051096 Sankt Annen;;3;1;1;1;2;;2;1;;;1;2;2;3
01051 Dithmarschen;01051097 Sankt Michaelisdonn;8;5;6;11;2;6;8;11;3;3;7;12;13;3;11
01051 Dithmarschen;01051098 Sarzbüttel;4;1;1;1;3;1;4;;10;3;2;1;4;8;1
01051 Dithmarschen;01051099 Schafstedt;4;5;6;4;6;5;3;3;3;12;8;9;1;4;13
01051 Dithmarschen;01051100 Schalkholz;2;1;;;1;;;1;1;;1;;3;4;2
01051 Dithmarschen;01051102 Schlichting;1;2;;1;;1;2;;2;2;1;;3;;
01051 Dithmarschen;01051103 Schmedeswurth;1;2;;;;2;;;;1;1;;1;;1
01051 Dithmarschen;01051104 Schrum;;1;;;;;1;;;;;;;2;
01051 Dithmarschen;01051105 Schülp;2;;1;2;;;;;1;;1;2;5;2;4
01051 Dithmarschen;01051107 Stelle-Wittenwurth;1;1;;1;1;1;1;;3;2;4;1;;;2
01051 Dithmarschen;01051108 Strübbel;1;1;1;2;1;;;;;;;1;1;1;
01051 Dithmarschen;01051109 Süderdeich;4;;1;2;1;;;;2;;;2;;2;1
01051 Dithmarschen;01051110 Süderhastedt;6;1;5;4;2;2;1;2;4;1;7;8;3;2;2
01051 Dithmarschen;01051113 Wöhrden;1;7;3;2;5;7;2;3;;4;5;1;4;4;14
01051 Dithmarschen;01051114 Tellingstedt;6;5;10;12;4;3;4;4;10;8;11;24;21;15;9
01051 Dithmarschen;01051117 Tielenhemme;4;;1;1;1;;;;1;;;3;;;1
01051 Dithmarschen;01051118 Trennewurth;2;;;;1;2;;;1;;;;;1;
01051 Dithmarschen;01051119 Volsemenhusen;7;;1;2;;;;1;;1;;2;1;;
01051 Dithmarschen;01051120 Wallen;;;;;;;;;;;;;;;2
01051 Dithmarschen;01051121 Warwerort;;1;1;;2;1;1;;2;4;;;;;
01051 Dithmarschen;01051122 Weddingstedt;2;7;11;8;1;13;12;2;9;8;3;4;2;1;4
01051 Dithmarschen;01051125 Welmbüttel;2;1;3;1;2;;;;;;1;;;;
01051 Dithmarschen;01051126 Wennbüttel;2;2;;;;;;;;;;;;;
01051 Dithmarschen;01051127 Wesselburen, Stadt;3;4;4;;3;1;4;2;7;3;2;11;10;5;6
01051 Dithmarschen;01051128 Wesselb.Deichhausen;;;;1;1;;1;1;1;1;;1;2;;
01051 Dithmarschen;01051129 Wesselburenerkoog;5;11;11;4;1;1;2;;;;3;;;1;1
01051 Dithmarschen;01051130 Wesseln;2;7;1;3;2;3;11;11;2;;2;2;;5;7
01051 Dithmarschen;01051131 Westerborstel;2;;;1;;1;;1;1;;;;;1;1
01051 Dithmarschen;01051132 Westerdeichstrich;1;3;3;2;3;4;1;3;2;4;;2;2;;1
01051 Dithmarschen;01051133 Wiemerstedt;;;;;;1;1;;1;;;;1;1;
01051 Dithmarschen;01051134 Windbergen;5;1;2;6;3;1;2;1;3;3;1;1;2;2;3
01051 Dithmarschen;01051135 Wolmersdorf;;3;2;4;1;1;1;;1;1;1;1;;4;1
01051 Dithmarschen;01051136 Wrohm;6;;9;3;3;5;1;3;4;3;2;1;2;;5
01051 Dithmarschen;01051137 Nordermeldorf;9;5;7;4;1;;2;2;;1;1;2;3;4;4
01051 Dithmarschen;01051138 Tensbüttel-Röst;2;4;5;4;1;2;4;2;4;7;2;5;3;2;3
01051 Dithmarschen;01051139 Süderdorf;3;1;2;3;1;;1;;1;3;2;;;1;
01051 Dithmarschen;01051140 Oesterwurth;1;;;1;;;;;;1;2;1;4;;1
01051 Dithmarschen;01051141 Süderheistedt;1;4;3;3;1;;;3;;1;2;1;4;4;3
01051 Dithmarschen;Gesamtsumme;415;380;334;317;311;320;308;281;302;357;442;427;439;357;347
01053 Hzgt. Lauenburg;01053001 Albsfelde;;;;1;;;;;;;;;;;
01053 Hzgt. Lauenburg;01053002 Alt-Mölln;4;9;8;;;6;1;;6;;5;4;2;;2
01053 Hzgt. Lauenburg;01053003 Aumühle;4;10;1;;2;;17;3;6;;12;2;2;5;5
01053 Hzgt. Lauenburg;01053004 Bäk;2;;1;3;6;4;2;7;4;;3;1;3;;1
01053 Hzgt. Lauenburg;01053005 Bälau;;;2;;;1;;;;;;;;;
01053 Hzgt. Lauenburg;01053006 Basedow;;2;1;1;;4;3;2;;1;2;;1;;
01053 Hzgt. Lauenburg;01053007 Basthorst;2;5;8;1;3;;;1;;;;;1;;1
01053 Hzgt. Lauenburg;01053008 Behlendorf;;;1;;2;;2;;;;1;3;;3;
01053 Hzgt. Lauenburg;01053009 Berkenthin;3;3;2;5;8;11;11;8;6;;40;4;22;4;3
01053 Hzgt. Lauenburg;01053010 Besenthal;;;1;;;;1;1;;;1;;;;
01053 Hzgt. Lauenburg;01053011 Bliestorf;;;2;;3;2;2;1;3;;6;1;1;5;4
01053 Hzgt. Lauenburg;01053012 Börnsen;23;27;20;2;13;8;32;12;18;;27;;4;2;3
01053 Hzgt. Lauenburg;01053013 Borstorf;1;;;;6;2;3;;;;2;1;;;1
01053 Hzgt. Lauenburg;01053014 Breitenfelde;13;13;9;1;19;9;12;3;2;;54;8;3;;3
01053 Hzgt. Lauenburg;01053015 Bröthen;;;2;;;3;4;3;1;;3;2;1;;2
01053 Hzgt. Lauenburg;01053016 Brunsmark;;1;;;1;;;1;;;2;;;;
01053 Hzgt. Lauenburg;01053017 Brunstorf;;;1;1;;3;16;12;4;;1;2;;3;3
01053 Hzgt. Lauenburg;01053018 Buchholz;;2;;1;;1;6;2;;1;;2;;;
01053 Hzgt. Lauenburg;01053019 Buchhorst;;;;1;;;1;;;;;;2;1;
01053 Hzgt. Lauenburg;01053020 Büchen;38;35;1;22;19;13;25;31;10;2;124;21;15;33;61
01053 Hzgt. Lauenburg;01053021 Dahmker;;1;;2;;;1;1;;;3;1;3;1;
01053 Hzgt. Lauenburg;01053022 Dalldorf;;1;4;1;;4;;1;;;1;;;1;
01053 Hzgt. Lauenburg;01053023 Dassendorf;9;10;4;;6;49;16;15;11;;22;;13;5;3
01053 Hzgt. Lauenburg;01053024 Düchelsdorf;;1;;1;;;;;;;;;;1;
01053 Hzgt. Lauenburg;01053025 Duvensee;2;;;7;;4;3;4;;;4;;1;;4
01053 Hzgt. Lauenburg;01053026 Einhaus;;;1;2;1;;4;5;1;;1;;2;;
01053 Hzgt. Lauenburg;01053027 Elmenhorst;2;2;3;1;2;4;2;1;1;;5;1;;9;3
01053 Hzgt. Lauenburg;01053028 Escheburg;2;4;2;;3;21;3;16;9;;10;1;102;31;13
01053 Hzgt. Lauenburg;01053029 Fitzen;3;1;;4;;1;3;;2;;5;2;;;
01053 Hzgt. Lauenburg;01053031 Fuhlenhagen;;1;;3;4;7;4;6;4;;1;2;;;
01053 Hzgt. Lauenburg;01053032 Geesthacht, Stadt;44;69;44;63;56;31;37;27;20;51;46;78;55;36;65
01053 Hzgt. Lauenburg;01053033 Giesensdorf;;;;3;3;1;;;;;1;;;;
01053 Hzgt. Lauenburg;01053034 Göldenitz;1;;;;3;1;;1;2;;3;1;;4;
01053 Hzgt. Lauenburg;01053035 Göttin;1;;;;;;;2;;;1;1;;1;
01053 Hzgt. Lauenburg;01053036 Grabau;;1;3;8;2;4;3;;1;;1;1;1;;
01053 Hzgt. Lauenburg;01053037 Grambek;1;1;;3;1;11;3;1;2;;7;;2;;5
01053 Hzgt. Lauenburg;01053038 Grinau;1;1;;1;;2;1;;;;2;;;;
01053 Hzgt. Lauenburg;01053039 Groß Boden;;;;;;3;;;;;;2;1;;
01053 Hzgt. Lauenburg;01053040 Groß Disnack;;;;;;;;1;;;;;;1;1
01053 Hzgt. Lauenburg;01053041 Groß Grönau;4;22;4;17;23;5;2;17;9;;12;14;2;3;2
01053 Hzgt. Lauenburg;01053042 Groß Pampau;;1;;1;;2;;;1;;4;2;1;2;
01053 Hzgt. Lauenburg;01053043 Groß Sarau;4;7;6;2;2;;8;8;2;;3;15;11;7;12
01053 Hzgt. Lauenburg;01053044 Groß Schenkenberg;2;1;1;;;;;;9;;1;;4;;3
01053 Hzgt. Lauenburg;01053045 Grove;1;1;2;4;;1;1;;1;;1;2;;1;1
01053 Hzgt. Lauenburg;01053046 Gudow;17;3;4;5;6;3;8;9;19;;14;27;13;4;5
01053 Hzgt. Lauenburg;01053047 Gülzow;1;;1;2;;;;19;10;;8;;;;4
01053 Hzgt. Lauenburg;01053048 Güster;10;3;5;3;3;5;3;3;2;;7;1;2;2;14
01053 Hzgt. Lauenburg;01053049 Hamfelde;;2;;3;;;1;3;1;;;1;3;2;
