"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121HOJ75 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - HH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Bezirk;Stadtteil;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
5 Wandsbek;502 Wandsbek;18;20;16;15;10;7;34;14;15;55;42;12;16;8;27
5 Wandsbek;503 Marienthal;34;6;5;6;4;5;9;7;13;20;4;10;9;10;10
5 Wandsbek;504 Jenfeld;1;6;15;11;7;13;10;28;80;74;69;11;40;45;10
5 Wandsbek;505 Tonndorf;5;106;2;40;15;16;11;5;31;14;13;14;21;9;32
5 Wandsbek;506 Farmsen-Berne;25;25;23;34;23;29;21;46;49;58;25;31;18;36;28
5 Wandsbek;507 Bramfeld;56;42;19;34;37;48;82;65;55;47;48;32;58;36;23
5 Wandsbek;508 Steilshoop;;2;;3;;2;2;2;1;5;1;;1;;3
5 Wandsbek;509 Wellingsbüttel;25;28;32;34;21;22;31;33;37;21;24;20;28;12;11
5 Wandsbek;510 Sasel;78;56;63;102;81;72;63;65;75;68;78;60;83;65;41
5 Wandsbek;511 Poppenbüttel;59;43;31;55;36;42;41;58;53;23;34;30;33;26;29
5 Wandsbek;512 Hummelsbüttel;11;5;24;11;20;19;7;26;25;39;37;17;21;7;19
5 Wandsbek;513 Lemsahl-Mellingstedt;39;22;23;29;19;26;15;19;47;44;40;38;43;25;36
5 Wandsbek;514 Duvenstedt;10;24;31;31;14;23;13;16;12;10;13;14;16;5;11
5 Wandsbek;515 Wohldorf-Ohlstedt;6;16;9;22;15;30;14;29;21;14;33;28;11;9;9
5 Wandsbek;516 Bergstedt;53;56;65;34;21;26;28;20;25;28;16;13;22;27;15
5 Wandsbek;517 Volksdorf;31;53;27;62;31;37;41;35;45;44;23;36;33;33;22
5 Wandsbek;518 Rahlstedt;76;82;75;99;73;134;86;100;94;102;72;66;80;55;49
5 Wandsbek;Gesamtsumme;530;593;461;624;432;553;517;574;693;670;576;435;540;408;376
6 Bergedorf;601 Lohbrügge;27;24;18;36;25;20;12;34;57;48;45;24;25;10;7
6 Bergedorf;602 Bergedorf;53;18;23;21;19;33;31;31;44;50;54;16;31;15;10
6 Bergedorf;603 Curslack;10;6;18;9;6;15;4;12;9;7;6;12;9;8;7
6 Bergedorf;604 Altengamme;1;4;3;4;2;3;3;2;2;7;7;2;10;13;1
6 Bergedorf;605 Neuengamme;10;11;10;12;4;6;5;9;14;6;10;12;5;2;7
6 Bergedorf;606 Kirchwerder;31;31;35;31;22;26;43;37;46;28;28;16;26;19;5
6 Bergedorf;607 Ochsenwerder;10;6;18;9;11;15;5;19;39;29;18;3;12;3;2
6 Bergedorf;608 Reitbrook;4;;1;1;;2;3;;2;3;2;1;2;1;
6 Bergedorf;609 Allermöhe;54;4;57;10;2;9;9;4;7;5;4;;3;1;1
6 Bergedorf;610 Billwerder;4;;6;5;2;2;2;2;1;2;12;15;4;19;1
6 Bergedorf;611 Moorfleet;;1;2;2;2;3;1;2;1;;2;3;;1;
6 Bergedorf;612 Tatenberg;;3;2;3;1;1;6;2;1;3;3;;2;2;
6 Bergedorf;613 Spadenland;;;;1;1;;3;1;4;1;;;1;4;
6 Bergedorf;614 Neuallermöhe;;36;;45;46;3;17;11;2;4;8;2;;;5
6 Bergedorf;Gesamtsumme;204;144;193;189;143;138;144;166;229;193;199;106;130;98;46
7 Harburg;701 Harburg;3;3;3;23;11;67;15;15;7;21;6;5;5;2;10
7 Harburg;702 Neuland;5;;3;4;1;2;6;1;6;4;7;3;2;6;2
7 Harburg;703 Gut Moor;;;;;;;;;;;;;;1;
7 Harburg;704 Wilstorf;1;1;2;2;2;8;;13;5;2;;4;2;;6
