OBJECTID,Postleitzahl,note,Einwohner:Innen,Gebietgröße in km²,Shape__Area,Shape__Length
2852,82481,82481 Mittenwald,7349,132.797657,290406494.567383,118566.818682154
2853,82435,82435 Bayersoien,1116,17.647857,38941741.7382813,38137.6033054188
2854,82494,82494 Krün,1510,20.105494,44051173.1625977,48430.6756245576
2855,82493,82493 Krün,372,16.212247,35469054.7124023,44556.6307752063
2856,82444,82444 Schlehdorf,1191,24.617018,54205045.2670898,42863.5565538815
2857,82442,82442 Saulgrub,1613,35.52113,78196035.8398438,76805.6538169544
2858,82490,82490 Farchant,3700,25.7462,56460639.3344727,43663.5120538193
2859,82433,82433 Bad Kohlgrub,2359,32.632258,71916988.40625,44105.4754173419
2860,82499,82499 Wallgau,1384,33.915648,74388297.2216797,48809.8925854553
2861,53534,"53534 Barweiler, Bauler, Hoffeld, Pomster, Wiesemscheid, Wirft",1327,30.474371,74778562.3686523,48934.6628960359
2862,53506,"53506 Ahrbrück, Heckenbach, Hönningen, Kesseling, Rech",4274,99.019227,244184508.580078,112949.182966412
2863,53533,"53533 Antweiler, Aremberg, Dorsel, Eichenbach, Aremberg, Fuchshofen und Müsch",1329,33.816913,83169093.171875,55339.8945320517
2864,53547,"53547 Breitscheid, Dattenberg, Hausen, Hümmerich, Kasbach-Ohlenberg, Roßbach u.a.",10651,55.803371,138172802.634277,121664.688591347
2865,53518,"53518 Adenau, Kottenborn u.a.",4706,58.842124,144558578.9375,54992.2783658541
2866,53539,"53539 Bodenbach, Kelberg, Kirsbach u.a.",2979,55.819189,136680736.77832,86401.9124196799
2867,53520,"53520 Reifferscheid, Kaltenborn, Wershofen u.a.",6124,138.129304,339784928.727051,234738.2117347
2868,99198,99198 Udestedt,1804,34.896704,88171086.1450195,53600.6411379565
2869,99102,99102 Klettbach,1309,15.355994,38582104.0117188,32583.8512623215
2870,88045,88045 Friedrichshafen,20372,10.747911,23701649.4736328,29074.6019995237
2871,38440,38440 Wolfsburg,25285,15.618481,41949783.5371094,32679.7013539992
2872,37627,37627 Stadtoldendorf u.a.,9777,93.864013,245842078.40918,87746.0739126102
2873,49767,49767 Twist,9625,105.748924,287117974.179688,120587.766879815
