Postleitzahl,year,bundesland,group,treated,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024,post_t1,post_t2,treat_x_t1,treat_x_t2,outcome,treat_x_2015,treat_x_2016,treat_x_2017,treat_x_2018,treat_x_2019,treat_x_2021,treat_x_2022
21217,2015,Niedersachsen,NI_grenze,0,privat,2.0,4.98,5.029999999999999,34.204145,0,0,0,0,0,0,0.05847244537175247,0,0,0,0,0,0,0
21217,2016,Niedersachsen,NI_grenze,0,privat,4.0,21.51,21.79,34.204145,0,0,0,0,0,0,0.11694489074350493,0,0,0,0,0,0,0
21217,2017,Niedersachsen,NI_grenze,0,privat,8.0,43.61,53.33,34.204145,0,0,0,0,0,0,0.23388978148700987,0,0,0,0,0,0,0
21217,2018,Niedersachsen,NI_grenze,0,privat,1.0,9.6,9.6,34.204145,0,0,0,0,0,0,0.029236222685876233,0,0,0,0,0,0,0
21217,2019,Niedersachsen,NI_grenze,0,privat,3.0,17.6,24.89,34.204145,0,0,0,0,0,0,0.0877086680576287,0,0,0,0,0,0,0
21217,2020,Niedersachsen,NI_grenze,0,privat,9.0,64.16,67.43,34.204145,0,0,0,0,0,0,0.26312600417288606,0,0,0,0,0,0,0
21217,2021,Niedersachsen,NI_grenze,0,privat,23.0,155.1,176.57,34.204145,0,0,1,0,0,0,0.6724331217751534,0,0,0,0,0,0,0
21217,2022,Niedersachsen,NI_grenze,0,privat,34.0,294.78,333.0,34.204145,0,0,1,1,0,0,0.9940315713197919,0,0,0,0,0,0,0
21218,2015,Niedersachsen,NI_grenze,0,privat,1.0,4.5,5.1,29.568672,0,0,0,0,0,0,0.03381957769358056,0,0,0,0,0,0,0
21218,2016,Niedersachsen,NI_grenze,0,privat,1.0,29.835,29.835,29.568672,0,0,0,0,0,0,0.03381957769358056,0,0,0,0,0,0,0
21218,2017,Niedersachsen,NI_grenze,0,privat,3.0,14.34,18.355,29.568672,0,0,0,0,0,0,0.10145873308074167,0,0,0,0,0,0,0
21218,2018,Niedersachsen,NI_grenze,0,privat,7.0,42.06,42.79,29.568672,0,0,0,0,0,0,0.23673704385506392,0,0,0,0,0,0,0
21218,2019,Niedersachsen,NI_grenze,0,privat,5.0,42.18000000000001,43.0,29.568672,0,0,0,0,0,0,0.1690978884679028,0,0,0,0,0,0,0
21218,2020,Niedersachsen,NI_grenze,0,privat,19.0,164.72,194.33,29.568672,0,0,0,0,0,0,0.6425719761780306,0,0,0,0,0,0,0
21218,2021,Niedersachsen,NI_grenze,0,privat,16.0,145.95999999999998,183.385,29.568672,0,0,1,0,0,0,0.5411132430972889,0,0,0,0,0,0,0
21218,2022,Niedersachsen,NI_grenze,0,privat,33.0,273.011,301.89,29.568672,0,0,1,1,0,0,1.1160460638881584,0,0,0,0,0,0,0
21224,2015,Niedersachsen,NI_grenze,0,privat,3.0,24.5,30.0,63.734589,0,0,0,0,0,0,0.047070202335501056,0,0,0,0,0,0,0
21224,2016,Niedersachsen,NI_grenze,0,privat,6.0,35.29,36.73,63.734589,0,0,0,0,0,0,0.09414040467100211,0,0,0,0,0,0,0
21224,2017,Niedersachsen,NI_grenze,0,privat,10.0,52.92,58.91,63.734589,0,0,0,0,0,0,0.1569006744516702,0,0,0,0,0,0,0
21224,2018,Niedersachsen,NI_grenze,0,privat,7.0,35.66,37.4,63.734589,0,0,0,0,0,0,0.10983047211616913,0,0,0,0,0,0,0
21224,2019,Niedersachsen,NI_grenze,0,privat,12.0,89.191,97.181,63.734589,0,0,0,0,0,0,0.18828080934200422,0,0,0,0,0,0,0
21224,2020,Niedersachsen,NI_grenze,0,privat,28.0,242.105,271.925,63.734589,0,0,0,0,0,0,0.4393218884646765,0,0,0,0,0,0,0
21224,2021,Niedersachsen,NI_grenze,0,privat,41.0,337.09000000000003,374.415,63.734589,0,0,1,0,0,0,0.6432927652518478,0,0,0,0,0,0,0
21224,2022,Niedersachsen,NI_grenze,0,privat,47.0,349.665,390.18,63.734589,0,0,1,1,0,0,0.7374331699228499,0,0,0,0,0,0,0
21423,2015,Niedersachsen,NI_grenze,0,privat,13.0,81.95,86.075,140.348967,0,0,0,0,0,0,0.0926262606549858,0,0,0,0,0,0,0
21423,2016,Niedersachsen,NI_grenze,0,privat,23.0,182.07,185.38,140.348967,0,0,0,0,0,0,0.16387723038959026,0,0,0,0,0,0,0
21423,2017,Niedersachsen,NI_grenze,0,privat,20.0,88.815,92.545,140.348967,0,0,0,0,0,0,0.14250193946920894,0,0,0,0,0,0,0
21423,2018,Niedersachsen,NI_grenze,0,privat,11.0,69.425,73.305,140.348967,0,0,0,0,0,0,0.0783760667080649,0,0,0,0,0,0,0
21423,2019,Niedersachsen,NI_grenze,0,privat,43.0,563.123,596.955,140.348967,0,0,0,0,0,0,0.3063791698587992,0,0,0,0,0,0,0
21423,2020,Niedersachsen,NI_grenze,0,privat,71.0,521.935,562.015,140.348967,0,0,0,0,0,0,0.5058818851156917,0,0,0,0,0,0,0
21423,2021,Niedersachsen,NI_grenze,0,privat,108.0,902.692,975.94,140.348967,0,0,1,0,0,0,0.7695104731337282,0,0,0,0,0,0,0
21423,2022,Niedersachsen,NI_grenze,0,privat,97.0,680.1850000000001,768.07,140.348967,0,0,1,1,0,0,0.6911344064256633,0,0,0,0,0,0,0
21435,2015,Niedersachsen,NI_grenze,0,privat,7.0,41.955,45.73,38.661664,0,0,0,0,0,0,0.18105790790587803,0,0,0,0,0,0,0
21435,2016,Niedersachsen,NI_grenze,0,privat,1.0,2.01,2.01,38.661664,0,0,0,0,0,0,0.025865415415125433,0,0,0,0,0,0,0
21435,2017,Niedersachsen,NI_grenze,0,privat,4.0,37.2,42.09,38.661664,0,0,0,0,0,0,0.10346166166050173,0,0,0,0,0,0,0
21435,2018,Niedersachsen,NI_grenze,0,privat,4.0,22.58,25.85,38.661664,0,0,0,0,0,0,0.10346166166050173,0,0,0,0,0,0,0
21435,2019,Niedersachsen,NI_grenze,0,privat,6.0,31.92,34.835,38.661664,0,0,0,0,0,0,0.1551924924907526,0,0,0,0,0,0,0
21435,2020,Niedersachsen,NI_grenze,0,privat,9.0,72.75999999999999,76.72,38.661664,0,0,0,0,0,0,0.23278873873612888,0,0,0,0,0,0,0
21435,2021,Niedersachsen,NI_grenze,0,privat,30.0,231.28,240.61,38.661664,0,0,1,0,0,0,0.775962462453763,0,0,0,0,0,0,0
21435,2022,Niedersachsen,NI_grenze,0,privat,45.0,378.145,417.35,38.661664,0,0,1,1,0,0,1.1639436936806444,0,0,0,0,0,0,0
21465,2015,Schleswig-Holstein,SH_grenze,0,privat,8.0,34.69,41.3,38.139721,0,0,0,0,0,0,0.20975507398179447,0,0,0,0,0,0,0
21465,2016,Schleswig-Holstein,SH_grenze,0,privat,15.0,55.69,59.025,38.139721,0,0,0,0,0,0,0.39329076371586463,0,0,0,0,0,0,0
21465,2017,Schleswig-Holstein,SH_grenze,0,privat,14.0,66.24,70.57,38.139721,0,0,0,0,0,0,0.3670713794681403,0,0,0,0,0,0,0
21465,2018,Schleswig-Holstein,SH_grenze,0,privat,19.0,301.49,344.02,38.139721,0,0,0,0,0,0,0.4981683007067618,0,0,0,0,0,0,0
21465,2019,Schleswig-Holstein,SH_grenze,0,privat,25.0,171.895,183.925,38.139721,0,0,0,0,0,0,0.6554846061931077,0,0,0,0,0,0,0
21465,2020,Schleswig-Holstein,SH_grenze,0,privat,48.0,338.57,382.765,38.139721,0,0,0,0,0,0,1.2585304438907667,0,0,0,0,0,0,0
21465,2021,Schleswig-Holstein,SH_grenze,0,privat,68.0,512.285,572.64,38.139721,0,0,1,0,0,0,1.782918128845253,0,0,0,0,0,0,0
21465,2022,Schleswig-Holstein,SH_grenze,0,privat,78.0,781.075,872.77,38.139721,0,0,1,1,0,0,2.045111971322496,0,0,0,0,0,0,0
